project_id,project_name,project_type,geography_id,organization_id,start_date,end_date,budget_usd,status
1,Education Initiative Fund,Technology,8,500,2025-03-15,2026-08-11,355807.38,On Hold
2,Agriculture Initiative Million,Economic Development,220,511,2024-05-04,2025-10-31,31798.8,On Hold
3,Agriculture Initiative Force,Health,39,664,2018-10-29,2019-06-19,409820.73,On Hold
4,Environment Initiative Long,Agriculture,19,81,2023-05-30,2024-11-09,298896.98,Completed
5,Technology Initiative Poor,Agriculture,220,90,2019-12-20,2021-07-02,70139.97,Completed
6,Technology Initiative End,Technology,10,498,2022-04-18,2024-03-20,386493.91,Active
7,Technology Initiative Blood,Health,211,751,2023-04-26,2024-01-24,486990.17,On Hold
8,Agriculture Initiative Form,Community Development,191,229,2019-10-13,2020-05-01,365966.87,On Hold
9,Technology Initiative Now,Education,158,731,2023-03-09,2024-05-22,437870.66,Active
10,Community Development Initiative Wait,Environment,220,775,2024-04-29,2025-10-02,160459.19,Cancelled
11,Environment Initiative Challenge,Environment,205,237,2022-10-19,2023-08-19,90970.43,Completed
12,Environment Initiative Force,Health,5,441,2023-01-06,2024-04-14,64560.68,Cancelled
13,Technology Initiative Student,Technology,20,688,2019-06-05,2020-04-17,336459.34,On Hold
14,Health Initiative Pull,Agriculture,34,10,2020-06-15,2022-02-27,437630.4,Active
15,Environment Initiative Not,Education,81,43,2019-09-04,2021-06-14,148135.08,Active
16,Economic Development Initiative Feeling,Economic Development,169,395,2024-12-05,2026-04-20,252982.55,On Hold
17,Economic Development Initiative Through,Environment,118,80,2025-03-20,2026-11-20,156505.61,Completed
18,Education Initiative Article,Economic Development,11,764,2022-06-14,2024-02-16,383903.63,Active
19,Education Initiative Including,Education,235,292,2017-04-23,2018-02-08,383818.8,Cancelled
20,Technology Initiative Glass,Education,188,222,2019-06-19,2020-03-23,301948.38,Cancelled
21,Economic Development Initiative Field,Economic Development,143,101,2023-09-26,2025-08-31,271283.76,Completed
22,Agriculture Initiative Near,Technology,250,401,2022-10-05,2023-05-12,329939.6,Cancelled
23,Economic Development Initiative Forward,Economic Development,30,418,2020-01-28,2021-03-31,483608.27,Cancelled
24,Community Development Initiative Hold,Agriculture,23,541,2022-05-31,2024-05-28,409563.61,On Hold
25,Economic Development Initiative Here,Education,90,643,2024-11-12,2026-07-15,22416.36,Cancelled
26,Environment Initiative Door,Technology,143,550,2024-05-31,2025-11-04,380538.39,Cancelled
27,Health Initiative Sell,Economic Development,9,13,2025-02-08,2026-12-10,242187.87,Completed
28,Health Initiative Page,Technology,1,742,2019-06-08,2021-04-17,320967.68,Active
29,Environment Initiative Identify,Health,162,198,2017-12-12,2019-04-03,231760.19,On Hold
30,Agriculture Initiative Down,Education,120,529,2024-01-13,2025-09-14,115521.68,Active
31,Health Initiative Collection,Education,197,410,2024-08-31,2026-08-27,303811.92,On Hold
32,Community Development Initiative Old,Agriculture,89,291,2021-07-11,2022-04-22,305744.61,Completed
33,Environment Initiative Series,Education,67,397,2025-01-19,2026-09-12,242998.96,Active
34,Environment Initiative Service,Economic Development,132,741,2019-06-26,2021-03-12,211838.88,On Hold
35,Technology Initiative Score,Economic Development,87,782,2025-01-29,2025-10-06,248254.61,Active
36,Environment Initiative Decide,Agriculture,91,442,2017-06-17,2018-03-10,27489.74,On Hold
37,Health Initiative Which,Agriculture,64,769,2017-10-31,2019-06-14,49255.39,Active
38,Health Initiative Other,Economic Development,239,151,2021-09-28,2023-06-19,13047.47,Active
39,Agriculture Initiative Account,Economic Development,214,355,2018-05-18,2019-03-31,217118.51,Completed
40,Technology Initiative Itself,Environment,181,489,2016-12-06,2018-02-04,243644.93,Completed
41,Community Development Initiative Per,Health,26,388,2018-07-09,2019-01-23,250088.89,Cancelled
42,Economic Development Initiative During,Technology,42,426,2022-01-06,2022-10-23,58326.94,On Hold
43,Community Development Initiative Above,Health,4,106,2020-10-25,2022-08-28,76070.77,Active
44,Agriculture Initiative Forget,Technology,75,346,2020-07-18,2021-06-04,164018.7,Active
45,Agriculture Initiative Pressure,Economic Development,9,520,2017-09-10,2019-02-22,496796.29,Active
46,Economic Development Initiative Record,Technology,127,412,2023-03-26,2024-04-22,317393.21,Completed
47,Economic Development Initiative Fill,Environment,35,318,2016-09-03,2018-08-16,191865.73,Cancelled
48,Education Initiative How,Health,205,791,2021-10-30,2022-12-03,144638.73,Completed
49,Education Initiative So,Education,149,82,2023-06-15,2024-02-10,149069.6,On Hold
50,Economic Development Initiative Media,Agriculture,159,232,2019-11-07,2020-10-13,493028.33,Cancelled
51,Education Initiative Candidate,Environment,146,580,2019-03-20,2020-06-26,481078.08,Cancelled
52,Agriculture Initiative Budget,Environment,194,397,2021-12-17,2023-05-02,80538.94,Cancelled
53,Agriculture Initiative Everything,Education,134,621,2017-02-10,2018-02-24,400231.39,Completed
54,Agriculture Initiative Man,Health,116,797,2022-12-27,2023-11-20,167016.65,Cancelled
55,Education Initiative Trial,Health,33,256,2018-09-15,2019-05-10,23490.72,Completed
56,Education Initiative Try,Agriculture,98,762,2023-10-14,2025-01-29,236708.39,Active
57,Agriculture Initiative Happen,Education,169,378,2017-11-01,2018-11-04,261735.26,Active
58,Education Initiative Social,Economic Development,218,645,2023-01-03,2024-03-26,87170.88,Active
