geography_id,country,region,capital_city,city,rural_urban
1,Bolivia,South America,La Paz,Garretttown,Peri-urban
2,Paraguay,South America,Asunción,New Jeffery,Urban
3,Ecuador,South America,Quito,Feliciaside,Peri-urban
4,Morocco,North Africa,Rabat,Susanfurt,Peri-urban
5,Ghana,West Africa,Accra,New Austin,Peri-urban
6,Guatemala,Central America,Guatemala City,South Aprilport,Urban
7,Costa Rica,Central America,San José,Lake Theresachester,Peri-urban
8,Senegal,West Africa,Dakar,Alexandershire,Urban
9,Guatemala,Central America,Guatemala City,Ellisonfurt,Urban
10,Guatemala,Central America,Guatemala City,Gonzalezville,Peri-urban
11,Peru,South America,Lima,East Jerryberg,Peri-urban
12,Paraguay,South America,Asunción,East Erinside,Urban
13,Nepal,Asia,Kathmandu,Emilychester,Rural
14,Costa Rica,Central America,San José,Markport,Rural
15,Nepal,Asia,Kathmandu,Christopherchester,Rural
16,Paraguay,South America,Asunción,Jonesborough,Rural
17,Bolivia,South America,La Paz,Cooperchester,Peri-urban
18,Guatemala,Central America,Guatemala City,North Tinachester,Peri-urban
19,Nepal,Asia,Kathmandu,Port Robert,Urban
20,Ecuador,South America,Quito,West Dorothy,Peri-urban
21,Philippines,Asia,Manila,East Amanda,Rural
22,Ghana,West Africa,Accra,North Deanna,Urban
23,Uganda,East Africa,Kampala,Medinaville,Peri-urban
24,Costa Rica,Central America,San José,South Michael,Rural
25,Costa Rica,Central America,San José,Lake Amandaville,Rural
26,Morocco,North Africa,Rabat,Hallhaven,Rural
27,Ghana,West Africa,Accra,Lake Gregoryborough,Peri-urban
28,Uganda,East Africa,Kampala,New Molly,Rural
29,Uganda,East Africa,Kampala,South Mark,Rural
30,Panama,Central America,Panama City,Jonathanport,Peri-urban
31,Costa Rica,Central America,San José,South Devinville,Urban
32,Ghana,West Africa,Accra,South Garyport,Rural
33,Peru,South America,Lima,East Rebeccaland,Peri-urban
34,Nicaragua,Central America,Managua,Timothyburgh,Urban
35,Bolivia,South America,La Paz,Knightfurt,Urban
36,Ecuador,South America,Quito,East Tarafurt,Rural
37,Panama,Central America,Panama City,Cynthialand,Urban
38,Paraguay,South America,Asunción,Port Matthew,Peri-urban
39,Ecuador,South America,Quito,Christineview,Rural
40,Philippines,Asia,Manila,Reedfort,Peri-urban
41,Ghana,West Africa,Accra,South Gregoryhaven,Rural
42,Honduras,Central America,Tegucigalpa,Dunnside,Peri-urban
43,Nicaragua,Central America,Managua,Judyfort,Rural
44,Panama,Central America,Panama City,East Ruthtown,Rural
45,Uganda,East Africa,Kampala,Lake Sarahchester,Peri-urban
46,Costa Rica,Central America,San José,Stephenshaven,Urban
47,Peru,South America,Lima,Lynnmouth,Urban
48,Uganda,East Africa,Kampala,West Audreyfurt,Rural
49,Nepal,Asia,Kathmandu,South Lori,Urban
50,Panama,Central America,Panama City,South Victor,Peri-urban
51,Morocco,North Africa,Rabat,North Brianport,Peri-urban
52,Tanzania,East Africa,Dodoma,North Annamouth,Rural
53,Uganda,East Africa,Kampala,Lake Tracy,Rural
54,Guatemala,Central America,Guatemala City,South Jessicaview,Peri-urban
55,Uganda,East Africa,Kampala,North Alexandraborough,Urban
56,Ecuador,South America,Quito,Loweport,Peri-urban
57,Bolivia,South America,La Paz,Georgeview,Peri-urban
58,Uganda,East Africa,Kampala,Bergerview,Urban
59,Senegal,West Africa,Dakar,South Jenniferville,Urban
60,Honduras,Central America,Tegucigalpa,North Michaelborough,Urban
61,Morocco,North Africa,Rabat,Mendozaland,Rural
62,Honduras,Central America,Tegucigalpa,Briggshaven,Peri-urban
63,Ecuador,South America,Quito,West John,Urban
64,Nicaragua,Central America,Managua,West Joeville,Rural
65,Philippines,Asia,Manila,Port Kylieport,Peri-urban
66,Senegal,West Africa,Dakar,Port Mary,Urban
67,Uganda,East Africa,Kampala,Mezaburgh,Urban
68,Ecuador,South America,Quito,Watsonberg,Peri-urban
69,Nepal,Asia,Kathmandu,Jeremystad,Peri-urban
70,Guatemala,Central America,Guatemala City,West Suzanne,Urban
71,Panama,Central America,Panama City,Antoniotown,Urban
72,Peru,South America,Lima,North Brian,Peri-urban
73,Nicaragua,Central America,Managua,Lindachester,Urban
74,Nepal,Asia,Kathmandu,Rachelville,Rural
75,Ecuador,South America,Quito,Aprilfort,Urban
76,Paraguay,South America,Asunción,Jamesbury,Urban
77,Nicaragua,Central America,Managua,Aprilview,Rural
78,Honduras,Central America,Tegucigalpa,Lake Peter,Peri-urban
79,Ghana,West Africa,Accra,West Chasetown,Urban
80,Uganda,East Africa,Kampala,Bellport,Urban
81,Peru,South America,Lima,North Teresahaven,Urban
82,Paraguay,South America,Asunción,North Carolside,Rural
83,Peru,South America,Lima,Schultzmouth,Urban
84,Costa Rica,Central America,San José,East Nicoleton,Peri-urban
85,Paraguay,South America,Asunción,Andreachester,Peri-urban
86,Nicaragua,Central America,Managua,Davisfort,Peri-urban
87,Nepal,Asia,Kathmandu,Christopherhaven,Urban
88,Peru,South America,Lima,West Jonathan,Rural
89,Guatemala,Central America,Guatemala City,East Conniefurt,Urban
90,Ecuador,South America,Quito,Lake Melissaland,Rural
91,Morocco,North Africa,Rabat,Sydneytown,Rural
92,Costa Rica,Central America,San José,New Patrickfurt,Rural
93,Ghana,West Africa,Accra,North Candace,Rural
94,Morocco,North Africa,Rabat,New Bobbyland,Peri-urban
95,Philippines,Asia,Manila,Rachelberg,Rural
96,Senegal,West Africa,Dakar,North Lisa,Urban
97,Guatemala,Central America,Guatemala City,Edwardsmouth,Peri-urban
