date_id,full_date,year,quarter,month,month_name,week,day_of_week,is_weekend
1,2015-01-01,2015,1,1,January,1,Thursday,False
2,2015-01-02,2015,1,1,January,1,Friday,False
3,2015-01-03,2015,1,1,January,1,Saturday,True
4,2015-01-04,2015,1,1,January,1,Sunday,True
5,2015-01-05,2015,1,1,January,2,Monday,False
6,2015-01-06,2015,1,1,January,2,Tuesday,False
7,2015-01-07,2015,1,1,January,2,Wednesday,False
8,2015-01-08,2015,1,1,January,2,Thursday,False
9,2015-01-09,2015,1,1,January,2,Friday,False
10,2015-01-10,2015,1,1,January,2,Saturday,True
11,2015-01-11,2015,1,1,January,2,Sunday,True
12,2015-01-12,2015,1,1,January,3,Monday,False
13,2015-01-13,2015,1,1,January,3,Tuesday,False
14,2015-01-14,2015,1,1,January,3,Wednesday,False
15,2015-01-15,2015,1,1,January,3,Thursday,False
16,2015-01-16,2015,1,1,January,3,Friday,False
17,2015-01-17,2015,1,1,January,3,Saturday,True
18,2015-01-18,2015,1,1,January,3,Sunday,True
19,2015-01-19,2015,1,1,January,4,Monday,False
20,2015-01-20,2015,1,1,January,4,Tuesday,False
21,2015-01-21,2015,1,1,January,4,Wednesday,False
22,2015-01-22,2015,1,1,January,4,Thursday,False
23,2015-01-23,2015,1,1,January,4,Friday,False
24,2015-01-24,2015,1,1,January,4,Saturday,True
25,2015-01-25,2015,1,1,January,4,Sunday,True
26,2015-01-26,2015,1,1,January,5,Monday,False
27,2015-01-27,2015,1,1,January,5,Tuesday,False
28,2015-01-28,2015,1,1,January,5,Wednesday,False
29,2015-01-29,2015,1,1,January,5,Thursday,False
30,2015-01-30,2015,1,1,January,5,Friday,False
31,2015-01-31,2015,1,1,January,5,Saturday,True
32,2015-02-01,2015,1,2,February,5,Sunday,True
33,2015-02-02,2015,1,2,February,6,Monday,False
34,2015-02-03,2015,1,2,February,6,Tuesday,False
35,2015-02-04,2015,1,2,February,6,Wednesday,False
36,2015-02-05,2015,1,2,February,6,Thursday,False
37,2015-02-06,2015,1,2,February,6,Friday,False
38,2015-02-07,2015,1,2,February,6,Saturday,True
39,2015-02-08,2015,1,2,February,6,Sunday,True
40,2015-02-09,2015,1,2,February,7,Monday,False
41,2015-02-10,2015,1,2,February,7,Tuesday,False
42,2015-02-11,2015,1,2,February,7,Wednesday,False
43,2015-02-12,2015,1,2,February,7,Thursday,False
44,2015-02-13,2015,1,2,February,7,Friday,False
45,2015-02-14,2015,1,2,February,7,Saturday,True
46,2015-02-15,2015,1,2,February,7,Sunday,True
47,2015-02-16,2015,1,2,February,8,Monday,False
48,2015-02-17,2015,1,2,February,8,Tuesday,False
49,2015-02-18,2015,1,2,February,8,Wednesday,False
50,2015-02-19,2015,1,2,February,8,Thursday,False
51,2015-02-20,2015,1,2,February,8,Friday,False
52,2015-02-21,2015,1,2,February,8,Saturday,True
53,2015-02-22,2015,1,2,February,8,Sunday,True
54,2015-02-23,2015,1,2,February,9,Monday,False
55,2015-02-24,2015,1,2,February,9,Tuesday,False
56,2015-02-25,2015,1,2,February,9,Wednesday,False
57,2015-02-26,2015,1,2,February,9,Thursday,False
58,2015-02-27,2015,1,2,February,9,Friday,False
59,2015-02-28,2015,1,2,February,9,Saturday,True
60,2015-03-01,2015,1,3,March,9,Sunday,True
61,2015-03-02,2015,1,3,March,10,Monday,False
62,2015-03-03,2015,1,3,March,10,Tuesday,False
63,2015-03-04,2015,1,3,March,10,Wednesday,False
64,2015-03-05,2015,1,3,March,10,Thursday,False
65,2015-03-06,2015,1,3,March,10,Friday,False
66,2015-03-07,2015,1,3,March,10,Saturday,True
67,2015-03-08,2015,1,3,March,10,Sunday,True
68,2015-03-09,2015,1,3,March,11,Monday,False
69,2015-03-10,2015,1,3,March,11,Tuesday,False
70,2015-03-11,2015,1,3,March,11,Wednesday,False
71,2015-03-12,2015,1,3,March,11,Thursday,False
72,2015-03-13,2015,1,3,March,11,Friday,False
73,2015-03-14,2015,1,3,March,11,Saturday,True
74,2015-03-15,2015,1,3,March,11,Sunday,True
75,2015-03-16,2015,1,3,March,12,Monday,False
76,2015-03-17,2015,1,3,March,12,Tuesday,False
77,2015-03-18,2015,1,3,March,12,Wednesday,False
78,2015-03-19,2015,1,3,March,12,Thursday,False
79,2015-03-20,2015,1,3,March,12,Friday,False
80,2015-03-21,2015,1,3,March,12,Saturday,True
81,2015-03-22,2015,1,3,March,12,Sunday,True
82,2015-03-23,2015,1,3,March,13,Monday,False
83,2015-03-24,2015,1,3,March,13,Tuesday,False
84,2015-03-25,2015,1,3,March,13,Wednesday,False
85,2015-03-26,2015,1,3,March,13,Thursday,False
86,2015-03-27,2015,1,3,March,13,Friday,False
87,2015-03-28,2015,1,3,March,13,Saturday,True
88,2015-03-29,2015,1,3,March,13,Sunday,True
89,2015-03-30,2015,1,3,March,14,Monday,False
90,2015-03-31,2015,1,3,March,14,Tuesday,False
91,2015-04-01,2015,2,4,April,14,Wednesday,False
92,2015-04-02,2015,2,4,April,14,Thursday,False
93,2015-04-03,2015,2,4,April,14,Friday,False
94,2015-04-04,2015,2,4,April,14,Saturday,True
95,2015-04-05,2015,2,4,April,14,Sunday,True
96,2015-04-06,2015,2,4,April,15,Monday,False
97,2015-04-07,2015,2,4,April,15,Tuesday,False
98,2015-04-08,2015,2,4,April,15,Wednesday,False
99,2015-04-09,2015,2,4,April,15,Thursday,False
100,2015-04-10,2015,2,4,April,15,Friday,False
101,2015-04-11,2015,2,4,April,15,Saturday,True
102,2015-04-12,2015,2,4,April,15,Sunday,True
103,2015-04-13,2015,2,4,April,16,Monday,False
104,2015-04-14,2015,2,4,April,16,Tuesday,False
105,2015-04-15,2015,2,4,April,16,Wednesday,False
106,2015-04-16,2015,2,4,April,16,Thursday,False
107,2015-04-17,2015,2,4,April,16,Friday,False
108,2015-04-18,2015,2,4,April,16,Saturday,True
109,2015-04-19,2015,2,4,April,16,Sunday,True
110,2015-04-20,2015,2,4,April,17,Monday,False
111,2015-04-21,2015,2,4,April,17,Tuesday,False
112,2015-04-22,2015,2,4,April,17,Wednesday,False
113,2015-04-23,2015,2,4,April,17,Thursday,False
114,2015-04-24,2015,2,4,April,17,Friday,False
115,2015-04-25,2015,2,4,April,17,Saturday,True
116,2015-04-26,2015,2,4,April,17,Sunday,True
117,2015-04-27,2015,2,4,April,18,Monday,False
118,2015-04-28,2015,2,4,April,18,Tuesday,False
119,2015-04-29,2015,2,4,April,18,Wednesday,False
120,2015-04-30,2015,2,4,April,18,Thursday,False
121,2015-05-01,2015,2,5,May,18,Friday,False
122,2015-05-02,2015,2,5,May,18,Saturday,True
123,2015-05-03,2015,2,5,May,18,Sunday,True
124,2015-05-04,2015,2,5,May,19,Monday,False
125,2015-05-05,2015,2,5,May,19,Tuesday,False
126,2015-05-06,2015,2,5,May,19,Wednesday,False
127,2015-05-07,2015,2,5,May,19,Thursday,False
128,2015-05-08,2015,2,5,May,19,Friday,False
129,2015-05-09,2015,2,5,May,19,Saturday,True
130,2015-05-10,2015,2,5,May,19,Sunday,True
131,2015-05-11,2015,2,5,May,20,Monday,False
132,2015-05-12,2015,2,5,May,20,Tuesday,False
133,2015-05-13,2015,2,5,May,20,Wednesday,False
134,2015-05-14,2015,2,5,May,20,Thursday,False
135,2015-05-15,2015,2,5,May,20,Friday,False
136,2015-05-16,2015,2,5,May,20,Saturday,True
137,2015-05-17,2015,2,5,May,20,Sunday,True
